name,language,n_mentions
years_CL_,stata,8
post_CL_shortterm,stata,8
post_CL_broad,stata,8
post_CL_DMA,stata,8
NPNAME1_,stata,8
pkgA,r,8
a,r,8
psacalc2,stata,8
scalar_utils,python,8
runtest,stata,8
mcci,stata,8
professional_title,stata,8
ass,stata,8
treated_b1950,stata,8
railtrack,stata,8
XeeXh,stata,8
clustersampsi,stata,8
collabels,stata,8
ml_full_exempt_cd,stata,8
i_etp_excess,stata,8
sufficient_statistics,notebook,8
class_definitions,python,8
treatmentcontrolwindows,stata,8
abovebelowbunch,stata,8
abovebelowfull,stata,8
nlcomestadd,stata,8
frail_hsd,stata,8
frail_hsgp,stata,8
frail_col,stata,8
frail_under45,stata,8
frail_over45,stata,8
aciccomp2016,r,7
precord,stata,7
nonote,stata,7
dropmiss,stata,7
counterfactuals_functions,python,7
ei_a,stata,7
nonotes,stata,7
footable,python,7
beep,stata,7
brokseq,stata,7
tabmiss,stata,7
Y,stata,7
X,stata,7
nwclear,stata,7
weakidri,stata,7
i,stata,7
post_CL_longterm,stata,7
bar,r,7
select_observations,stata,7
build_recode_template,stata,7
ebayes,stata,7
married,stata,7
livestock_prod_price_Manure,stata,7
capiq_id_professional,stata,7
drop_message,stata,7
SELECTION_HEAD,stata,7
LIMITED_FE,stata,7
LIMITED_SAMPLE,stata,7
CONTROLS_PITCHATTRB,stata,7
BS_REPS,stata,7
xcorr,stata,7
cupid_numpy_utils,python,7
OtherFunctions,python,7
STARTLAG,stata,7
graphlab,python,7
polychoricpca,stata,6
htop5pct,stata,6
axuslft,stata,6
axftabs,stata,6
a_reorgn,stata,6
a_wkstat,stata,6
axhrs,stata,6
dephi,stata,6
hilin2,stata,6
i_care,stata,6
i_disva1,stata,6
i_occup,stata,6
i_paid,stata,6
i_phmemp,stata,6
i_surva2,stata,6
nwlook,stata,6
otyp5,stata,6
peio1cow,stata,6
pilin1,stata,6
prwkstat,stata,6
pxmntvty,stata,6
semp_yn,stata,6
weclw,stata,6
workyn,stata,6
placdscp,stata,6
othstper,stata,6
i_mig1,stata,6
mig_st,stata,6
pyrsn,stata,6
ptyn,stata,6
weind,stata,6
ern_srce,stata,6
csp_yn,stata,6
penplan,stata,6
axsex,stata,6
axnlflj,stata,6
axspouse,stata,6
i_hrswk,stata,6
i_mon,stata,6
i_out,stata,6
i_pout,stata,6
i_rntval,stata,6
i_sursc2,stata,6
a_lfsr,stata,6
simulation_DavilaAS,python,6
simulation_Davila,python,6
simulation_JFV,python,6
std,rmarkdown,6
checksum,rmarkdown,6
Y_var,stata,6
lat_var,stata,6
lon_var,stata,6
dist_var,stata,6
dist_cutoff,stata,6
weight,stata,6
nwdrop,stata,6
define_covariates,stata,6
depvars,stata,6
matewmf,stata,6
nomics,notebook,6
starbility,r,6
AEqty,stata,6
combineStates,stata,6
nh4a1_07,stata,6
nh4a1_09,stata,6
nh4a1_17,stata,6
nh4a1_19,stata,6
nh4a1_20,stata,6
nh4c110,stata,6
gslab_scons,python,6
usespss,stata,6
log_pop_2000,stata,6
change_log_pop,stata,6
pkgB,r,6
lib_data_load,python,6
lib_models,python,6
blank_table,stata,6
uf,stata,6
UF,stata,6
v035,stata,6
livestock_prod_qty_Eggs,stata,6
xx,stata,6
OptStab,python,6
temp,stata,6
treat_microdata,python,6
check_omitted_events,stata,6
lndens_emp,stata,6
lndens1_constr,stata,6
mt_summer1,stata,6
borninstate,stata,6
occ0,stata,6
ATT_CONTROLS,stata,6
ATT_INTERACT,stata,6
ATT_SELECTION,stata,6
FE_GAME,stata,6
FE_UMPIRE,stata,6
FE_DATE,stata,6
FE_TEAM,stata,6
FE_MDY,stata,6
FE_H,stata,6
FE_PLAYER,stata,6
c_age_30_june,stata,6
i_etp_below_rbl,stata,6
sb_mem_bal,stata,6
ds_pers_super_cont,stata,6
mergemodels,stata,6
FunctionsPython,python,6
mle_rc,python,6
cvgrid_min,stata,6
clpam,stata,6
a_wkslk,stata,5
pxinusyr,stata,5
frm_val,stata,5
ed_val,stata,5
i_nxtres,stata,5
a,stata,5
ms_probit_robust,stata,5
ms_estadd_scalar_dot,stata,5
ms_estadd_pct_ht,stata,5
Each,stata,5
p,stata,5
X_var,stata,5
time_var,stata,5
panel_var,stata,5
lag_var,stata,5
lag_cutoff,stata,5
timeUnique,stata,5
Ntime,stata,5
rows_ti,stata,5
lat1,stata,5
lon1,stata,5
lon_scale,stata,5
lat_scale,stata,5
distance_i,stata,5
panelUnique,stata,5
Npanel,stata,5
rows_pi,stata,5
time1,stata,5
nwset,stata,5
github,stata,5
nogenerate,stata,5
_winreg,python,5
leaveOut,stata,5
links_to_unique,stata,5
positionHH_p,stata,5
inc_deplab_p,stata,5
table_search,python,5
labloadingplot,stata,5
fips,stata,5
pdffont,python,5
pdfcolor,python,5
regr,python,5
datazoom_pnad,stata,5
bid_central_intermed_cntrpty,stata,5
ConflictCost,notebook,5
lib_operations,python,5
dataProcessing,python,5
npesq,stata,5
v202,stata,5
n_p,stata,5
V2007,stata,5
v072,stata,5
v203,stata,5
migrant_survey,stata,5
livestock_prod_qty_Milk,stata,5
livestock_prod_qty_OtherMeat,stata,5
suffstat,python,5
firstrow,stata,5
tot_pop,stata,5
projection_factor,stata,5
output_methods,python,5
methods_data_processing,python,5
myfixes,python,5
augsynth,rmarkdown,5
RUNNING_LEV_1,stata,5
RUNNING_LEV_2,stata,5
t,stata,5
model_interface,python,5
model_parameters,python,5
multiply_100,stata,5
manager_tools,python,5
EstimParameters,python,5
reghdfe_absorb,stata,5
grn_plac,stata,4
a_ftreas,stata,4
vet_val,stata,4
ptrsn,stata,4
pilin2,stata,4
otyp4,stata,4
a_whenlj,stata,4
a_pfrel,stata,4
a_exprrp,stata,4
a_lineno,stata,4
hityp,stata,4
i_edtyp2,stata,4
i_losewk,stata,4
i_oival,stata,4
i_peninc,stata,4
sskidyna,stata,4
vet_typ3,stata,4
wemocg,stata,4
housret,stata,4
i_hunits,stata,4
i_ucyn,stata,4
i_discs,stata,4
i_cspval,stata,4
vet_typ2,stata,4
a_hga,stata,4
ahiper,stata,4
frmotr,stata,4
jcyn,stata,4
resnss2,stata,4
wicyna,stata,4
cap_loss,stata,4
emcontrb,stata,4
pothval,stata,4
wc_val,stata,4
penatvty,stata,4
a_anywk,stata,4
rabi_TOTmeandaysworked14,stata,4
fullyear_TOTmeandaysworked14,stata,4
rabi_AITCGPmeandaysworked14,stata,4
fullyear_AITCGPmeandaysworked14,stata,4
winner,stata,4
mainpartyAITC,stata,4
mainpartyCPIM,stata,4
mainpartyINC,stata,4
nbpmatching,python,4
stfill,stata,4
lpinfer,r,4
Year,stata,4
rddisttestk,stata,4
ms_fe_add_a7,stata,4
causalDML,r,4
openirt,stata,4
dups,r,4
weight_i,stata,4
sax12im,stata,4
def,stata,4
pct,stata,4
model,stata,4
Queue,python,4
urllib2,python,4
nameUniq,stata,4
ldagibbs,stata,4
sfi,python,4
nh4a1_06,stata,4
nh4a1_08,stata,4
nh4a1_6,stata,4
nh4a1_7,stata,4
nh4a1_8,stata,4
nh4a1_9,stata,4
spatgsa,stata,4
gen_output,python,4
age_2000,stata,4
income_2000,stata,4
unemployment_2000,stata,4
pct_college_2000,stata,4
pct_rental_2000,stata,4
share_urban_2000,stata,4
pres_turnout_2000,stata,4
path_names,python,4
test123,r,4
shasum,stata,4
Demand_Estimation_Utilities,python,4
_sha512,python,4
_xxsubinterpreters,python,4
rAMPL,r,4
gslab_make,python,4
h_i,stata,4
csdid_estat,stata,4
MWEM,python,4
QUADRO,stata,4
livestock_prod_price_Milk,stata,4
livestock_prod_price_Eggs,stata,4
livestock_prod_qty_HidesAnd,stata,4
s14_mature_Chicken,stata,4
insample,stata,4
This,stata,4
shiftshare,python,4
X_l,stata,4
Y_l,stata,4
ind_l,stata,4
np_county_year,stata,4
np_u,stata,4
tva,stata,4
q,stata,4
MV1_female,stata,4
losing_candidate_clean_cqq,stata,4
mixed_gender_election,stata,4
k_variables,stata,4
invXX,stata,4
XeeX_spatial,stata,4
XeeX_spatial_HAC,stata,4
WAZIM,stata,4
WAREA,stata,4
_cons,stata,4
model_estimation_methods,python,4
x,stata,4
nostar,stata,4
MEAN_PAST_LEV,stata,4
_stddiff,stata,4
pval_nostar,stata,4
abovebelowWBfull,stata,4
placebowindows1,stata,4
placebowindows2,stata,4
placebosamplecorr1,stata,4
placebosamplecorr2,stata,4
lookup,stata,4
dvt_new_pm,stata,4
cvt_within,stata,4
cvt_between_exp,stata,4
cvt_biny3,stata,4
gauss_quadrature,python,4
func_cost_stats,python,4
siml_std,python,4
knitroWrapper,python,4
GenerateID,stata,4
b_CCT,stata,4
X_IK_med_q2,stata,4
X_IK_med_q1,stata,4
con,stata,4
b_IK,stata,4
h_CV_min,stata,4
cvgrid_max,stata,4
cvgrid_length,stata,4
h_CV,stata,4
mat2tex,stata,4
bayes_bootstrap,python,4
addXvector,stata,4
genInteractions,stata,4
the,stata,3
pemntvty,stata,3
h_livqrt,stata,3
frntval,stata,3
noLOg,stata,3
_byoptnotallowed,stata,3
_post_vce_rank,stata,3
smooth,stata,3
nomtitles,stata,3
rabi_AITCGPmeandaysworked,stata,3
fullyear_AITCGPmeandaysworked,stata,3
multiple_factor,python,3
Controlling,stata,3
cleanplots,stata,3
model_2025,python,3
cpp11test,r,3
taxsim35,stata,3
acfest,stata,3
arcgisscripting,python,3
ZeeZ,stata,3
Z,stata,3
select_dates,python,3
nwgeodesic,stata,3
decision_dum,stata,3
schemepack,stata,3
_prefix_display,stata,3
get,stata,3
matcorr,stata,3
stargazer-booktabs,r,3
values,stata,3
noconstant,stata,3
md5,python,3
wprobimport,stata,3
stSerif,stata,3
bunch_count,stata,3
r2446900,stata,3
r6481200,stata,3
r2445200,stata,3
r6479100,stata,3
positionHH,stata,3
spatwmat,stata,3
share_black_2000,stata,3
share_hisp_2000,stata,3
FRD,r,3
lme4.0,r,3
scikits,python,3
win32con,python,3
_speedups,python,3
forach,stata,3
connected,stata,3
infdisauction,r,3
calculate_offers_function_library,python,3
bysmeanw,stata,3
simple_block,python,3
asymptotic,python,3
weakssivtest,stata,3
_nwimport_graphml,stata,3
labs,stata,3
num_help,python,3
MDP_knowledge,python,3
sum_XeeX,stata,3
binscatter3,stata,3
ggthemr,r,3
GSSU,stata,3
v206,stata,3
v236,stata,3
V2008,stata,3
V20081,stata,3
v204,stata,3
v214,stata,3
sumindex,stata,3
unitval,stata,3
quantprod_sukuma_goro,stata,3
livestock_prod_price_BeefCatt,stata,3
livestock_prod_price_SheepGoat,stata,3
livestock_prod_price_PoultryMe,stata,3
livestock_prod_price_OtherMeat,stata,3
rcall_check,stata,3
noheader,stata,3
notable,stata,3
colrspace,stata,3
OptStab,notebook,3
suffstat,notebook,3
shiftshare,notebook,3
fw_l,stata,3
tot_comp,stata,3
pfish,stata,3
charisma_dem,stata,3
rep_incumbent_cqq,stata,3
numb_cosponsors,stata,3
comc,stata,3
black,stata,3
cosp_mixed_gender_election,stata,3
cosp_borninstate,stata,3
homeowner,stata,3
WAZIM2,stata,3
sreshape,stata,3
gotesp,stata,3
cmdstanr,r,3
MCPanel,r,3
regression_helpers,python,3
Pitch_ax,stata,3
Pitch_start_speed,stata,3
ATTENDANCE,stata,3
marriedat28,stata,3
divorce_after5,stata,3
model_parameters,notebook,3
log_likelihood,python,3
fcmnl,python,3
read_inputs,python,3
soepdrop,stata,3
WhichHouse,stata,3
spec_af,stata,3
pyRVtest_020,python,3
dvt_between_cheapest,stata,3
dvt_between_mix,stata,3
remhtesp,stata,3
remhnocald,stata,3
remhaux,stata,3
remhcoms,stata,3
remoespsub,stata,3
remoncdsub,stata,3
remoauxsub,stata,3
remocomsub,stata,3
error_in,stata,3
frailgood,stata,3
frailpoor,stata,3
rebuild_git,stata,3
ind_r,stata,3
loadzillow,stata,3
T_l,stata,3
c_bw,stata,3
d_bw_l,stata,3
d_bw_r,stata,3
C_b_l,stata,3
C_b_r,stata,3
C_h_l,stata,3
C_h_r,stata,3
BootstrapReport,python,3
cmxtmixlogit,stata,3
dwave,python,3
Global,python,3
tab2docx,stata,2
a_spouse,stata,2
a_famtyp,stata,2
schl1,stata,2
a_mthd1,stata,2
a_whynl7,stata,2
peridnum,stata,2
wewkrs,stata,2
vet_yn,stata,2
resnssa,stata,2
penincl,stata,2
pchip,stata,2
int_yn,stata,2
i_wkchk,stata,2
a_dtocc,stata,2
i_ssiyn,stata,2
i_penpla,stata,2
i_oth,stata,2
i_edyn,stata,2
comsrvyn,stata,2
ahityp4,stata,2
a_dtind,stata,2
mwp_val,stata,2
state_income_tax_before_credits,stata,2
caid,stata,2
dis_sc2,stata,2
fl_665,stata,2
i_dishp,stata,2
i_hea,stata,2
i_hi,stata,2
i_retsc2,stata,2
i_ucval,stata,2
i_wkswk,stata,2
prdisc,stata,2
ret_yn,stata,2
a_ftlf,stata,2
m5g_reg,stata,2
dsab_val,stata,2
int_val,stata,2
ret_val2,stata,2
sur_val2,stata,2
gediv,stata,2
sur_sc2,stata,2
ahityp6,stata,2
axmaritl,stata,2
axvet,stata,2
mon,stata,2
othstyp1,stata,2
out,stata,2
peinusyr,stata,2
i_retsc1,stata,2
i_workyn,stata,2
prptrea,stata,2
a_mjind,stata,2
ahityp2,stata,2
i_oedval,stata,2
i_pawyn,stata,2
i_mcare,stata,2
i_ljcw,stata,2
i_divval,stata,2
i_disvl1,stata,2
i_survl1,stata,2
i_pawmo,stata,2
i_wcyn,stata,2
i_ernyn,stata,2
axanywk,stata,2
axage,stata,2
hielse5,stata,2
mcare,stata,2
rnt_yn,stata,2
dis_yn,stata,2
subuc,stata,2
noemp,stata,2
wkcheck,stata,2
a_mjocc,stata,2
a_intend,stata,2
a_whynl3,stata,2
a_mthd3,stata,2
age1,stata,2
a_sex,stata,2
vet_qva,stata,2
fedtax_bc,stata,2
pearnval,stata,2
semp_val,stata,2
dis_val2,stata,2
prswkxpns,stata,2
peafever,stata,2
nxtres,stata,2
i_ptwks,stata,2
ahityp1,stata,2
i_wcval,stata,2
i_ssval,stata,2
i_intyn,stata,2
dis_hp,stata,2
i_finval,stata,2
pehspnon,stata,2
i_disyn,stata,2
i_retva2,stata,2
resnssi1,stata,2
hhdrel,stata,2
i_wsval,stata,2
i_rsnnot,stata,2
a_unmem,stata,2
prpertyp,stata,2
paw_yn,stata,2
a_hscol,stata,2
prop_tax,stata,2
a_mthd7,stata,2
prityp,stata,2
curtyp_3,stata,2
treat_infoBCXwife_ticket,stata,2
bl_fertility_w,stata,2
bl_when_married_w_lt5,stata,2
bl_weaver_women_hh_m,stata,2
cs_trip_why,stata,2
cs_leave_hr,stata,2
pair_relation_Hindi,stata,2
strata_has_ticket,stata,2
womwommatch,stata,2
c036,stata,2
s031,stata,2
s017,stata,2
c071,stata,2
xelatex,notebook,2
taxi,stata,2
rabi_meandaysworked14,stata,2
fullyear_meandaysworked14,stata,2
fracAITC2011,stata,2
ncand,stata,2
candshare,stata,2
contested,stata,2
insamp,stata,2
aitcmajority,stata,2
rabi_AITCGPmeandaysworked15,stata,2
rabi_AITCGPmeandaysworked16,stata,2
fullyear_AITCGPmeandaysworked15,stata,2
fullyear_AITCGPmeandaysworked16,stata,2
mlu,stata,2
rdob_m,stata,2
driver_functions,python,2
tempfile_churnprod,stata,2
tempfile_churnmkt,stata,2
prepare_text,python,2
create_tables,python,2
logistic_regression,python,2
scraper_functions,python,2
Annual,stata,2
Measurement,stata,2
asser,stata,2
_merge,stata,2
verb_steinkoks,stata,2
verb_mineraloil,stata,2
generate_synthetic_data,python,2
model_2025_tariffs,python,2
stopme,stata,2
dtamkr,python,2
slartibartfast,rmarkdown,2
writable,rmarkdown,2
xavamess,r,2
mvtnormAPI,r,2
gWidgetsWWW2,r,2
sigma,rmarkdown,2
yags,r,2
cpuinfo,python,2
LHS,stata,2
ls,stata,2
block_bootstrap,python,2
seperate,stata,2
qualrec,stata,2
tabulation,stata,2
Z_var,stata,2
k,stata,2
Z1,stata,2
ZeeZh,stata,2
wdecision_dum,stata,2
adjustment,python,2
Start_Flag,stata,2
vce,stata,2
self_nonagri,stata,2
edcode_head,stata,2
spulse,stata,2
constr,stata,2
repeated,stata,2
college_dummy,stata,2
shareholder,stata,2
popu_2006_college,stata,2
newlocation,stata,2
neworg,stata,2
newown,stata,2
newopen,stata,2
NoF,stata,2
nic3digit,stata,2
nic08_4,stata,2
nic08,stata,2
firmID,stata,2
Inprcode,stata,2
dsl,stata,2
emult2,stata,2
schcode,stata,2
monthsOperation,stata,2
industryFrame5,stata,2
exportshare,stata,2
wkgdays,stata,2
openClosed,stata,2
org,stata,2
ownership,stata,2
receiptsRentPlant,stata,2
receiptsRentBuilding,stata,2
receiptsLandRent,stata,2
expenseMaintainBuilding,stata,2
expenseMaintainPlant,stata,2
expenseRentPlant,stata,2
expenseRentBuilding,stata,2
expenseRentLand,stata,2
fixedBuildingGrossAdd,stata,2
fixedBuildingGrossDeduct,stata,2
fixedBuildingNetOpen,stata,2
fixedBuildingNetClose,stata,2
fixedComputerGrossAdd,stata,2
fixedComputerGrossDeduct,stata,2
fixedComputerNetOpen,stata,2
fixedComputerNetClose,stata,2
fixedLandGrossAdd,stata,2
fixedLandGrossDeduct,stata,2
fixedLandNetOpen,stata,2
fixedLandNetClose,stata,2
fixedOtherGrossAdd,stata,2
fixedOtherGrossDeduct,stata,2
fixedOtherNetOpen,stata,2
fixedOtherNetClose,stata,2
fixedPlantGrossAdd,stata,2
fixedPlantGrossDeduct,stata,2
fixedPlantNetOpen,stata,2
fixedPlantNetClose,stata,2
fixedPollutionGrossAdd,stata,2
fixedPollutionGrossDeduct,stata,2
fixedPollutionNetOpen,stata,2
fixedPollutionNetClose,stata,2
fixedTotalGrossAdd,stata,2
fixedTotalGrossDeduct,stata,2
fixedTotalNetOpen,stata,2
fixedTotalNetClose,stata,2
fixedTransportGrossAdd,stata,2
fixedTransportGrossDeduct,stata,2
fixedTransportNetOpen,stata,2
fixedTransportNetClose,stata,2
empContractDays,stata,2
empContractAverage,stata,2
empContractWages,stata,2
empContractBonus,stata,2
empContractProvident,stata,2
empContractWelfare,stata,2
empFemaleDays,stata,2
empFemaleAverage,stata,2
empFemaleWages,stata,2
empFemaleBonus,stata,2
empFemaleProvident,stata,2
empFemaleWelfare,stata,2
empMaleDays,stata,2
empMaleAverage,stata,2
empMaleWages,stata,2
empMaleBonus,stata,2
empMaleProvident,stata,2
empMaleWelfare,stata,2
empOtherDays,stata,2
empOtherAverage,stata,2
empOtherWages,stata,2
empOtherBonus,stata,2
empOtherProvident,stata,2
empOtherWelfare,stata,2
empSuperviseDays,stata,2
empSuperviseAverage,stata,2
empSuperviseWages,stata,2
empSuperviseBonus,stata,2
empSuperviseProvident,stata,2
empSuperviseWelfare,stata,2
empTotalDays,stata,2
empTotalAverage,stata,2
empTotalWages,stata,2
empTotalBonus,stata,2
empTotalProvident,stata,2
empTotalWelfare,stata,2
empUnpaidAverage,stata,2
inputElecPurchaseQuantity,stata,2
inputElecPurchaseValue,stata,2
fuel,stata,2
inputElecGenQuantity,stata,2
eleccons,stata,2
productTotalGrossValue,stata,2
materials,stata,2
workingStockMatsOpen,stata,2
workingStockMatsClose,stata,2
workingStockSFGOpen,stata,2
workingStockSFGClose,stata,2
workingStockFGOpen,stata,2
workingStockFGClose,stata,2
nonelecind,stata,2
matvec,stata,2
matvtom,stata,2
sheetfirstrowclear,notebook,2
excelusing,notebook,2
firstrowclear,notebook,2
cutr,r,2
scheme_tufte,stata,2
train,stata,2
GradBoost,stata,2
distributions,stata,2
max_depth,stata,2
n_estimators,stata,2
clf,stata,2
model_name,stata,2
frac0,stata,2
s,stata,2
nonumbers,stata,2
urlparse,python,2
hv243d,stata,2
Ngram_function,python,2
clean_time_var,stata,2
clean_time_days,stata,2
rf,stata,2
wgan,python,2
employers_all_cow_1982,stata,2
employers_all_cow_1986,stata,2
employers_all_cow_1990,stata,2
employers_all_cow_1994,stata,2
employers_all_cow_2002,stata,2
employers_all_cow_2010,stata,2
nh4a1_18,stata,2
nh4a1_24,stata,2
nh4c1_06,stata,2
nh4c1_07,stata,2
NH4C1_07,stata,2
NH4C18,stata,2
NH4C115,stata,2
nh4c1_8,stata,2
nh4c1_15,stata,2
ripw,r,2
diconsa,stata,2
id_loc,stata,2
minimo3,stata,2
jobscount_2000,stata,2
circ_2000,stata,2
total_pages,stata,2
resp_age,stata,2
resp_age2,stata,2
resp_college,stata,2
monstercom_count,stata,2
ebaycom_count,stata,2
realtorcom_count,stata,2
all_count,stata,2
some.very.long,r,2
ns,r,2
other,r,2
baz,r,2
rcbc,r,2
css,r,2
Rcampdf,r,2
BaseHTTPServer,python,2
__builtin__,python,2
httplib,python,2
rfc822,python,2
_subprocess,python,2
cmapdb,python,2
encodingdb,python,2
exp_total,stata,2
exp_total2,stata,2
raster00,python,2
masketeer,python,2
bismaketeer,python,2
rastbyblock,python,2
rastbyblock_expa,python,2
m00m10_p1,python,2
urbancores,python,2
m00m10_p2,python,2
sprawler,python,2
rastbyblock_dis,python,2
fringer,python,2
little_eraser,python,2
indextables,python,2
merger_fringes,python,2
buffer_help,python,2
hiq,stata,2
raven,stata,2
round,stata,2
ldelta,stata,2
no_repeated,stata,2
_rmdcoll,stata,2
gold,stata,2
infdisauction,rmarkdown,2
sml,stata,2
npdemand,python,2
lower,stata,2
dunntest,stata,2
